epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,226.018,0.54367,0.40582,0.97875,0.9944,1,0.995,0.92691,0.39119,0.37419,0.8296,0.0011486,0.0011486,0.0011486
45,230.65,0.5312,0.42405,0.98225,0.99024,1,0.995,0.91818,0.41794,0.36101,0.83568,0.0011288,0.0011288,0.0011288
46,235.245,0.52584,0.41773,0.97704,0.99424,1,0.995,0.92311,0.39443,0.30154,0.8219,0.001109,0.001109,0.001109
47,239.887,0.51827,0.41077,0.97339,0.97528,1,0.995,0.92339,0.40013,0.31237,0.83171,0.0010892,0.0010892,0.0010892
48,244.585,0.52449,0.40394,0.99002,0.96536,0.975,0.99167,0.91251,0.38013,0.33071,0.84316,0.0010694,0.0010694,0.0010694
49,249.171,0.50328,0.40313,0.97355,0.83026,0.8,0.8702,0.7035,0.74257,0.55285,1.08116,0.0010496,0.0010496,0.0010496
50,253.98,0.52421,0.40234,0.97174,0.80339,0.91951,0.92795,0.81309,0.48842,0.43005,0.90316,0.0010298,0.0010298,0.0010298
51,259.052,0.48107,0.36994,0.93713,0.99435,1,0.995,0.92825,0.3939,0.31456,0.82723,0.00101,0.00101,0.00101
52,263.972,0.54343,0.40479,0.97827,0.97281,1,0.99329,0.94145,0.35197,0.3122,0.8185,0.0009902,0.0009902,0.0009902
53,268.686,0.49451,0.37866,0.97454,0.97361,1,0.99012,0.9231,0.36057,0.29097,0.81312,0.0009704,0.0009704,0.0009704
54,273.339,0.48005,0.37756,0.94987,0.99788,1,0.995,0.93824,0.36129,0.28395,0.81391,0.0009506,0.0009506,0.0009506
55,278.046,0.47195,0.36091,0.944,0.99391,1,0.995,0.93817,0.33703,0.28834,0.81043,0.0009308,0.0009308,0.0009308
56,282.784,0.47549,0.35373,0.93833,0.99535,0.975,0.99451,0.93386,0.33267,0.28415,0.81887,0.000911,0.000911,0.000911
57,287.445,0.5012,0.39114,0.99703,0.99816,1,0.995,0.94408,0.35832,0.26537,0.82301,0.0008912,0.0008912,0.0008912
58,292.094,0.46754,0.37071,0.94982,0.99728,1,0.995,0.96071,0.35625,0.27842,0.81374,0.0008714,0.0008714,0.0008714
59,296.756,0.48622,0.36104,0.94818,0.97379,1,0.995,0.96011,0.3299,0.28518,0.80532,0.0008516,0.0008516,0.0008516
60,301.371,0.47491,0.36683,0.95939,0.97835,1,0.995,0.95627,0.35998,0.28249,0.82074,0.0008318,0.0008318,0.0008318
61,306.098,0.45227,0.36158,0.94598,0.98712,1,0.995,0.9374,0.39602,0.27852,0.83491,0.000812,0.000812,0.000812
62,310.728,0.45758,0.34909,0.95196,0.99539,1,0.995,0.94961,0.33995,0.27121,0.81709,0.0007922,0.0007922,0.0007922
63,315.321,0.4497,0.33931,0.92774,0.99744,1,0.995,0.959,0.32698,0.25447,0.81237,0.0007724,0.0007724,0.0007724
64,319.992,0.42822,0.33862,0.93779,0.99831,1,0.995,0.9465,0.37488,0.25726,0.8277,0.0007526,0.0007526,0.0007526
65,324.569,0.49038,0.37422,0.97255,0.99858,1,0.995,0.95021,0.36906,0.24864,0.82632,0.0007328,0.0007328,0.0007328
66,329.204,0.4406,0.35815,0.9535,0.99859,1,0.995,0.95192,0.39237,0.24843,0.82755,0.000713,0.000713,0.000713
67,333.884,0.44657,0.34727,0.92479,0.99835,1,0.995,0.94681,0.3419,0.23339,0.81166,0.0006932,0.0006932,0.0006932
68,338.72,0.41467,0.33426,0.92796,0.99807,1,0.995,0.94021,0.3597,0.25187,0.82896,0.0006734,0.0006734,0.0006734
69,343.351,0.43624,0.33539,0.92662,0.99833,1,0.995,0.93678,0.35399,0.24452,0.82853,0.0006536,0.0006536,0.0006536
70,347.943,0.42096,0.33308,0.92181,0.99792,1,0.995,0.94416,0.35084,0.23596,0.82579,0.0006338,0.0006338,0.0006338
71,352.506,0.44742,0.34604,0.94752,0.99826,1,0.995,0.94425,0.34231,0.23574,0.81524,0.000614,0.000614,0.000614
72,357.309,0.44896,0.33615,0.94202,0.99718,1,0.995,0.94986,0.32406,0.24379,0.8005,0.0005942,0.0005942,0.0005942
73,362.37,0.44527,0.32923,0.94783,0.9957,1,0.995,0.95971,0.31569,0.23805,0.80125,0.0005744,0.0005744,0.0005744
74,367.108,0.41987,0.31642,0.92229,0.9833,1,0.995,0.95871,0.32171,0.22831,0.80081,0.0005546,0.0005546,0.0005546
75,371.77,0.40293,0.31014,0.92485,0.98121,1,0.995,0.94784,0.33007,0.22383,0.80838,0.0005348,0.0005348,0.0005348
76,376.428,0.43267,0.31855,0.93838,0.99743,1,0.995,0.93455,0.31229,0.22763,0.799,0.000515,0.000515,0.000515
77,381.044,0.39051,0.31099,0.91651,0.99743,1,0.995,0.94602,0.31598,0.23504,0.80224,0.0004952,0.0004952,0.0004952
78,385.604,0.43818,0.33696,0.93953,0.99489,1,0.995,0.94295,0.32679,0.23418,0.8022,0.0004754,0.0004754,0.0004754
79,390.18,0.43359,0.31573,0.94594,0.99806,1,0.995,0.9412,0.33745,0.23408,0.80442,0.0004556,0.0004556,0.0004556
80,394.995,0.40546,0.28883,0.93154,0.99808,1,0.995,0.95873,0.29411,0.21487,0.79575,0.0004358,0.0004358,0.0004358
81,399.573,0.39462,0.29164,0.92279,0.99522,1,0.995,0.95319,0.3079,0.22575,0.80546,0.000416,0.000416,0.000416
82,404.182,0.41444,0.30866,0.92598,0.9967,1,0.995,0.94636,0.35139,0.23894,0.81687,0.0003962,0.0003962,0.0003962
83,408.795,0.41991,0.31412,0.93575,0.99764,1,0.995,0.95242,0.3281,0.22396,0.81132,0.0003764,0.0003764,0.0003764
84,413.435,0.42686,0.32048,0.94039,0.99842,1,0.995,0.96034,0.31047,0.2125,0.80531,0.0003566,0.0003566,0.0003566
85,418.038,0.40484,0.29575,0.93576,0.99846,1,0.995,0.96316,0.30319,0.20439,0.80258,0.0003368,0.0003368,0.0003368
86,422.677,0.42186,0.3252,0.9385,0.99853,1,0.995,0.96751,0.31209,0.20181,0.8044,0.000317,0.000317,0.000317
87,427.408,0.37381,0.29424,0.91343,0.99866,1,0.995,0.96222,0.31501,0.22029,0.80328,0.0002972,0.0002972,0.0002972
88,432.472,0.4049,0.30039,0.93174,1,0.99997,0.995,0.95929,0.28118,0.20873,0.80084,0.0002774,0.0002774,0.0002774
89,437.325,0.38645,0.29135,0.93057,1,0.99891,0.995,0.95669,0.28115,0.21025,0.80263,0.0002576,0.0002576,0.0002576
90,442.171,0.38263,0.29235,0.9176,1,0.99908,0.995,0.96157,0.28851,0.20479,0.80293,0.0002378,0.0002378,0.0002378
91,447.056,0.27618,0.24333,0.81586,0.99907,1,0.995,0.96322,0.30894,0.20123,0.80411,0.000218,0.000218,0.000218
92,451.953,0.27461,0.2269,0.83139,0.99829,1,0.995,0.96354,0.29297,0.20119,0.79926,0.0001982,0.0001982,0.0001982
93,456.939,0.27876,0.21871,0.83051,0.99816,1,0.995,0.96262,0.28315,0.20042,0.79314,0.0001784,0.0001784,0.0001784
94,461.765,0.26588,0.21978,0.81943,0.99828,1,0.995,0.96975,0.28283,0.18828,0.79085,0.0001586,0.0001586,0.0001586
95,466.48,0.27208,0.21657,0.81747,0.99836,1,0.995,0.97293,0.28834,0.18245,0.79067,0.0001388,0.0001388,0.0001388
96,471.3,0.25585,0.20514,0.82136,0.99828,1,0.995,0.97695,0.28513,0.17336,0.79144,0.000119,0.000119,0.000119
97,476.017,0.26817,0.21368,0.83037,0.99819,1,0.995,0.97542,0.2845,0.17886,0.79286,9.92e-05,9.92e-05,9.92e-05
98,480.732,0.26789,0.2154,0.85196,0.9981,1,0.995,0.97533,0.28521,0.19013,0.79261,7.94e-05,7.94e-05,7.94e-05
99,485.457,0.26282,0.19863,0.83189,0.99808,1,0.995,0.9756,0.2889,0.19486,0.79072,5.96e-05,5.96e-05,5.96e-05
100,490.237,0.26295,0.19745,0.83113,0.99808,1,0.995,0.96852,0.28971,0.1916,0.78771,3.98e-05,3.98e-05,3.98e-05
