epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1336.56,0.63967,0.44012,1.06426,0.99267,0.9805,0.99438,0.88286,0.5176,0.32523,0.94998,0.000990365,0.000990365,0.000990365
43,1367.27,0.61612,0.44634,1.0475,0.9936,0.97444,0.99296,0.89562,0.50136,0.32398,0.94482,0.000973861,0.000973861,0.000973861
44,1400.61,0.60743,0.43059,1.03847,0.98252,0.97995,0.99247,0.88623,0.50186,0.33149,0.95318,0.000957358,0.000957358,0.000957358
45,1431.75,0.59847,0.42764,1.04326,0.97546,0.98629,0.99277,0.9063,0.47215,0.30695,0.93196,0.000940855,0.000940855,0.000940855
46,1461.68,0.60922,0.41696,1.04159,0.96683,0.98332,0.98813,0.87118,0.52254,0.31957,0.95388,0.000924352,0.000924352,0.000924352
47,1492.6,0.62195,0.41609,1.05397,0.99537,0.98573,0.99295,0.90032,0.4826,0.29698,0.93995,0.000907848,0.000907848,0.000907848
48,1523.22,0.59025,0.41937,1.04059,0.97012,0.99153,0.9938,0.8752,0.52518,0.33113,0.94519,0.000891345,0.000891345,0.000891345
49,1553.47,0.58514,0.40738,1.04414,0.99085,0.98735,0.99453,0.88864,0.5122,0.30679,0.95023,0.000874842,0.000874842,0.000874842
50,1583.71,0.57547,0.39977,1.02764,0.97254,0.98207,0.98952,0.89664,0.48154,0.30414,0.93451,0.000858338,0.000858338,0.000858338
51,1616.11,0.57169,0.38486,1.0294,0.98434,0.9774,0.99201,0.88809,0.5002,0.31427,0.95562,0.000841835,0.000841835,0.000841835
52,1647.75,0.61283,0.41904,1.06207,0.99143,0.9783,0.99412,0.89904,0.48255,0.28915,0.93261,0.000825332,0.000825332,0.000825332
53,1679.17,0.6041,0.40507,1.05154,0.99512,0.98305,0.99452,0.88565,0.50191,0.29999,0.94812,0.000808828,0.000808828,0.000808828
54,1710.39,0.61338,0.39011,1.08743,0.98758,0.98805,0.99396,0.90122,0.46739,0.2801,0.93006,0.000792325,0.000792325,0.000792325
55,1741.53,0.56748,0.38335,1.02409,0.98705,0.99435,0.99447,0.90041,0.47882,0.28691,0.93605,0.000775822,0.000775822,0.000775822
56,1772.55,0.58147,0.38361,1.03358,0.99415,0.99718,0.99492,0.89977,0.48271,0.28133,0.93118,0.000759318,0.000759318,0.000759318
57,1804.1,0.57668,0.38271,1.02379,0.98304,0.98961,0.99043,0.89997,0.4975,0.29352,0.96043,0.000742815,0.000742815,0.000742815
58,1835.57,0.56009,0.37373,1.02367,0.99485,0.9816,0.99328,0.9038,0.46651,0.29038,0.93175,0.000726312,0.000726312,0.000726312
59,1866.85,0.57477,0.43152,1.03966,0.99332,0.99117,0.99475,0.90408,0.46354,0.27138,0.92878,0.000709809,0.000709809,0.000709809
60,1898.19,0.55904,0.37759,1.02262,0.9596,0.97002,0.99135,0.87017,0.54511,0.33092,0.96471,0.000693305,0.000693305,0.000693305
61,1929.38,0.55172,0.37994,1.00534,0.97831,0.99657,0.99424,0.90538,0.45242,0.28188,0.91346,0.000676802,0.000676802,0.000676802
62,1960.62,0.54932,0.36325,1.01221,0.99136,0.98128,0.99382,0.90544,0.4655,0.27086,0.93449,0.000660299,0.000660299,0.000660299
63,1991.85,0.58888,0.3733,1.06631,0.98489,0.97963,0.98995,0.89137,0.48636,0.29948,0.93489,0.000643795,0.000643795,0.000643795
64,2023.25,0.55155,0.36188,1.01324,0.98736,0.97962,0.99386,0.90165,0.4704,0.27378,0.92586,0.000627292,0.000627292,0.000627292
65,2054.39,0.53129,0.34812,0.99962,0.98413,0.98867,0.99393,0.90754,0.46861,0.27559,0.92644,0.000610789,0.000610789,0.000610789
66,2085.72,0.55069,0.35939,1.00679,0.9802,0.99388,0.99104,0.91787,0.44089,0.26165,0.92653,0.000594286,0.000594286,0.000594286
67,2116.97,0.53281,0.35889,1.00875,0.99303,0.97009,0.99188,0.9133,0.45325,0.26899,0.92044,0.000577782,0.000577782,0.000577782
68,2148.45,0.5308,0.35192,1.00444,0.99127,0.98305,0.99417,0.91029,0.44234,0.26859,0.91539,0.000561279,0.000561279,0.000561279
69,2179.59,0.53684,0.36799,1.00293,0.99151,0.98588,0.99412,0.90919,0.45299,0.26891,0.91682,0.000544776,0.000544776,0.000544776
70,2210.92,0.53168,0.35874,0.99972,0.98797,0.99435,0.99396,0.92286,0.43617,0.25155,0.91716,0.000528272,0.000528272,0.000528272
71,2241.97,0.53779,0.35381,1.01116,0.99227,0.99372,0.99451,0.91554,0.43812,0.25309,0.91844,0.000511769,0.000511769,0.000511769
72,2273.11,0.50727,0.3335,0.98936,0.99012,0.99435,0.99441,0.91672,0.42838,0.2525,0.91267,0.000495266,0.000495266,0.000495266
73,2304.43,0.51894,0.34055,0.99366,0.99209,0.99089,0.99364,0.92343,0.41727,0.24967,0.90665,0.000478762,0.000478762,0.000478762
74,2335.76,0.5222,0.33848,0.9991,0.98799,0.99127,0.99412,0.92074,0.43804,0.26096,0.90819,0.000462259,0.000462259,0.000462259
75,2367.08,0.5212,0.34044,1.00871,0.98356,0.99067,0.99406,0.91454,0.43664,0.2559,0.91005,0.000445756,0.000445756,0.000445756
76,2398.86,0.5175,0.33364,0.99775,0.98477,1,0.99444,0.9195,0.43342,0.24706,0.91611,0.000429253,0.000429253,0.000429253
77,2430.63,0.53216,0.34456,1.00665,0.99253,0.98588,0.99432,0.91431,0.42551,0.2429,0.91163,0.000412749,0.000412749,0.000412749
78,2462.5,0.50996,0.3297,1.00404,0.98752,0.99652,0.9944,0.91633,0.43625,0.24283,0.90843,0.000396246,0.000396246,0.000396246
79,2494.33,0.50424,0.32452,0.98872,0.98878,0.9886,0.99371,0.92244,0.41558,0.23992,0.9093,0.000379743,0.000379743,0.000379743
80,2525.74,0.50237,0.32411,0.98842,0.98381,0.9887,0.99347,0.92495,0.42231,0.23521,0.91377,0.000363239,0.000363239,0.000363239
81,2557.37,0.50948,0.32548,0.9961,0.98633,0.98023,0.99221,0.93254,0.40752,0.23881,0.89207,0.000346736,0.000346736,0.000346736
82,2588.87,0.47897,0.30942,0.97652,0.98903,0.99153,0.9943,0.93225,0.40859,0.23118,0.90525,0.000330233,0.000330233,0.000330233
83,2620.28,0.48788,0.31802,0.98761,0.99078,0.98305,0.99411,0.93624,0.39476,0.23055,0.89689,0.000313729,0.000313729,0.000313729
84,2651.92,0.48387,0.31308,0.97921,0.99278,0.98512,0.99395,0.93006,0.40397,0.23284,0.90083,0.000297226,0.000297226,0.000297226
85,2683.71,0.48262,0.30856,0.98792,0.98831,0.99153,0.99426,0.93194,0.41431,0.22987,0.90842,0.000280723,0.000280723,0.000280723
86,2715.72,0.49123,0.30628,0.98766,0.98916,0.99577,0.99466,0.9359,0.39893,0.22259,0.89996,0.00026422,0.00026422,0.00026422
87,2747.38,0.47639,0.30457,0.98419,0.98794,1,0.99458,0.92494,0.42402,0.22169,0.91245,0.000247716,0.000247716,0.000247716
88,2779.08,0.47678,0.30287,0.97983,0.98662,0.99435,0.99438,0.94096,0.39412,0.22236,0.89732,0.000231213,0.000231213,0.000231213
89,2810.42,0.48111,0.30833,0.98279,0.99457,0.99099,0.99486,0.93825,0.39741,0.21909,0.90551,0.00021471,0.00021471,0.00021471
90,2841.8,0.46245,0.30216,0.98139,0.99488,0.99393,0.99475,0.93648,0.39858,0.21651,0.90169,0.000198206,0.000198206,0.000198206
91,2873.42,0.36642,0.23536,0.90258,0.9913,0.97797,0.99273,0.93169,0.40579,0.228,0.90352,0.000181703,0.000181703,0.000181703
92,2904.38,0.36639,0.22656,0.88812,0.98786,0.9881,0.99417,0.93572,0.4003,0.22059,0.89787,0.0001652,0.0001652,0.0001652
93,2934.86,0.35584,0.2122,0.87889,0.97883,0.99435,0.99438,0.93827,0.40499,0.22614,0.90463,0.000148696,0.000148696,0.000148696
94,2965.58,0.35369,0.21699,0.89125,0.98505,0.99293,0.99449,0.93482,0.40828,0.22859,0.90532,0.000132193,0.000132193,0.000132193
95,2997.3,0.34928,0.21233,0.88316,0.98674,0.99114,0.99412,0.93927,0.39534,0.2243,0.90127,0.00011569,0.00011569,0.00011569
96,3028.63,0.37165,0.21827,0.91601,0.99761,0.98588,0.99453,0.93987,0.40211,0.21961,0.91151,9.91865e-05,9.91865e-05,9.91865e-05
97,3059.51,0.345,0.20879,0.88197,0.99568,0.98305,0.99384,0.94147,0.38782,0.21627,0.89741,8.26832e-05,8.26832e-05,8.26832e-05
98,3090.07,0.34148,0.20885,0.87815,0.99576,0.98305,0.99238,0.94381,0.38576,0.21588,0.90074,6.61799e-05,6.61799e-05,6.61799e-05
99,3120.67,0.33568,0.21288,0.87128,0.99634,0.9851,0.99196,0.94238,0.39497,0.21628,0.90755,4.96766e-05,4.96766e-05,4.96766e-05
100,3151.16,0.32574,0.19933,0.87142,0.9985,0.98588,0.99483,0.944,0.39192,0.21328,0.9075,3.31733e-05,3.31733e-05,3.31733e-05
